id,char,freq
0,<pad>,0
1,<sos>,0
2,<eos>,0
3, ,929229
4,.,122747
5,이,108540
6,는,73001
7,어,61119
8,요,55349
9,다,53301
10,가,52978
11,고,52666
12,에,51247
13,하,46508
14,그,44946
15,서,41986
16,을,40905
17,지,39225
18,저,35941
19,음,34838
20,아,30959
21,있,30077
22,나,29758
23,기,29411
24,니,28622
25,해,27507
26,게,27274
27,리,26107
28,자,25948
29,라,25289
30,로,23876
31,의,23675
32,은,23478
33,거,23155
34,도,22769
35,를,21141
36,면,20982
37,한,20722
38,사,19770
39,시,19536
40,제,18629
41,보,17177
42,들,15862
43,으,14997
44,대,14840
45,야,14805
46,데,14616
47,?,14411
48,인,14182
49,여,13274
50,죠,13233
51,까,12998
52,수,12980
53,것,12816
54,래,12650
55,적,12100
56,일,11578
57,문,11536
58,우,11513
59,주,11433
60,구,11263
61,부,11234
62,만,11015
63,러,10680
64,정,10460
65,오,10457
66,내,10356
67,말,10186
68,생,10122
69,되,10007
70,런,9511
71,때,9188
72,렇,9089
73,예,9036
74,할,8657
75,상,8531
76,장,8124
77,분,8106
78,무,8088
79,세,8025
80,했,7975
81,소,7921
82,마,7805
83,었,7647
84,습,7605
85,동,7528
86,같,7422
87,과,7378
88,번,7317
89,용,7213
90,안,7206
91,화,7197
92,금,7154
93,겠,6922
94,네,6635
95,뭐,6609
96,건,6562
97,려,6471
98,미,6229
99,너,6080
100,간,6040
101,모,6033
102,성,5948
103,더,5931
104,전,5909
105,관,5725
106,좋,5611
107,단,5577
108,비,5551
109,중,5515
110,바,5441
111,선,5292
112,조,5249
113,각,5215
114,표,5092
115,경,5081
116,학,5052
117,신,5042
118,진,4988
119,물,4974
120,없,4963
121,않,4901
122,와,4824
123,공,4804
124,실,4763
125,운,4660
126,히,4651
127,람,4651
128,많,4644
129,식,4521
130,교,4491
131,원,4450
132,현,4445
133,잘,4424
134,드,4377
135,방,4249
136,얘,4155
137,늘,4130
138,명,4100
139,입,4080
140,스,4051
141,작,4032
142,두,4000
143,유,3988
144,먹,3977
145,강,3838
146,알,3833
147,걸,3811
148,개,3798
149,계,3795
150,된,3772
151,심,3703
152,발,3682
153,체,3627
154,영,3609
155,설,3592
156,근,3570
157,연,3548
158,글,3520
159,치,3483
160,국,3454
161,떤,3439
162,좀,3425
163,위,3393
164,던,3304
165,산,3279
166,합,3275
167,님,3264
168,양,3181
169,반,3153
170,점,3138
171,르,3137
172,또,3137
173,행,3076
174,법,3036
175,난,3006
176,결,2962
177,살,2913
178,쓰,2906
179,형,2899
180,청,2866
181,든,2766
182,집,2762
183,태,2757
184,갈,2708
185,디,2701
186,친,2688
187,못,2650
188,당,2597
189,통,2595
190,읽,2589
191,날,2565
192,돼,2557
193,직,2518
194,받,2510
195,럼,2500
196,배,2465
197,떻,2460
198,랑,2456
199,막,2451
200,재,2441
201,싶,2440
202,른,2432
203,언,2428
204,터,2421
205,속,2419
206,달,2411
207,줄,2385
208,절,2370
209,감,2332
210,냐,2319
211,본,2306
212,잖,2266
213,차,2226
214,맞,2218
215,처,2211
216,십,2196
217,약,2187
218,았,2184
219,워,2179
220,트,2156
221,특,2155
222,올,2139
223,볼,2104
224,앞,2103
225,질,2075
226,피,2068
227,왜,2045
228,역,2034
229,험,2011
230,온,1980
231,업,1977
232,확,1972
233,느,1966
234,봐,1953
235,품,1935
236,높,1925
237,타,1924
238,출,1917
239,록,1914
240,향,1882
241,머,1876
242,될,1854
243,임,1851
244,외,1846
245,버,1838
246,삼,1832
247,따,1808
248,왔,1803
249,회,1788
250,셨,1783
251,봤,1770
252,목,1770
253,준,1715
254,활,1714
255,울,1714
256,파,1706
257,름,1703
258,격,1674
259,새,1666
260,필,1634
261,종,1630
262,백,1618
263,끝,1613
264,등,1610
265,추,1605
266,즘,1580
267,별,1571
268,편,1540
269,노,1528
270,민,1526
271,찾,1511
272,황,1491
273,매,1491
274,능,1489
275,술,1486
276,누,1480
277,남,1474
278,휴,1459
279,쪽,1454
280,냥,1440
281,년,1432
282,코,1427
283,테,1425
284,변,1424
285,씨,1422
286,져,1416
287,론,1410
288,축,1404
289,접,1400
290,뒤,1399
291,돌,1395
292,복,1389
293,천,1376
294,열,1375
295,겨,1365
296,겁,1347
297,써,1338
298,루,1336
299,께,1321
300,력,1319
301,불,1318
302,짜,1309
303,였,1308
304,됐,1299
305,째,1298
306,침,1277
307,독,1264
308,길,1245
309,책,1242
310,힘,1241
311,락,1229
312,얼,1226
313,순,1223
314,쵸,1215
315,호,1200
316,억,1196
317,함,1192
318,키,1187
319,환,1173
320,애,1167
321,크,1165
322,렸,1147
323,붙,1139
324,련,1135
325,풍,1134
326,악,1113
327,놓,1098
328,병,1096
